State_ID,name,time,loc,lead
State0,Ziqiang Institute,1893-01-01,Wuchang Sanfo Pavilion Dachao Street Intersection,The Qing government
State1,Foreign Languages Institute,1902-01-01,Wuchang East Factory Entrance,The Qing government
State2,National Wuchang Higher Normal College,1913-07-01,Wuchang East Factory Entrance,Republic of China
State3,National Wuchang Normal University,1923-09-01,Wuchang East Factory Entrance,Republic of China
State4,National Wuchang University,1925-01-01,Wuchang East Factory Entrance,Republic of China
State5,National Wuchang Zhongshan University,1926-01-01,Wuchang East Factory Entrance,Republic of China
State6,Wuhan National University,1928-07-01,Wuchang East Factory Entrance,Republic of China
State7,Wuhan National University,1932-03-01,Wuchang Luojia Hill,Republic of China
State8,Wuhan National University,1938-01-01,Sichuan Leshan,Republic of China
State9,Wuhan National University,1946-01-01,Wuchang Luojia Hill,Republic of China
State10,Wuhan University,1949-08-01,Wuchang Luojia Hill,China
